outcode,avg_asking_price,avg_asking_price_1bed,avg_asking_price_2beds,avg_asking_price_3beds,avg_asking_price_4beds,avg_asking_price_5beds,days_on_market,Sales per month,Sale/List Ratio
PL9,368551,165667,219536,332380,436752,572350,100 days,87.3,71.13
PO1,335695,165186,292266,391621,1006500,292488,177 days,40.17,45.99
PO10,587922,177963,341917,478058,765791,1182833,151 days,39.54,50.75
PO11,422190,138095,265671,398756,608999,980857,185 days,70.54,20.46
PO12,325292,167803,224097,312779,562786,641465,148 days,99.12,58.9
PO13,365170,143562,278188,339456,578955,733736,125 days,66.48,54.87
PO14,506146,176750,326612,407130,609385,1042954,142 days,58.52,61.37
PO15,445306,160000,294661,368691,526622,861136,124 days,62.9,45
PO16,374042,166930,297974,374617,543785,731818,130 days,74.54,59.75
PO17,501512,193333,280190,470355,644918,975000,218 days,12.66,38.04
PO18,783730,145833,429197,606936,869820,1909500,169 days,34.08,34.38
PO19,460550,175033,334702,489005,728819,987190,175 days,77.66,40.84
PO2,246397,143787,198482,278567,351734,351429,126 days,57.86,88.48
PO20,568085,271842,254321,445830,729083,1227669,154 days,125.45,32.3
PO21,401517,132922,261850,418915,568347,837205,139 days,125.61,43.13
PO22,481623,161439,281073,434685,653615,814400,167 days,70.42,47.7
PO3,277715,137635,195195,308955,389577,395000,122 days,31.72,76.74
PO30,400206,99933,229363,327689,542776,710554,176 days,69.38,37.1
PO31,480621,162500,269183,413826,727033,1218545,157 days,43.57,39.47
PO32,294406,159500,217970,270290,438745,531990,143 days,24.34,43.97
PO33,362319,131854,202945,344705,519859,714444,190 days,82.58,35.18
PO34,543998,172500,265467,428326,632854,1516286,136 days,14.56,19.7
PO35,533901,228890,306758,351425,727708,856667,216 days,18.89,13.24
PO36,308678,110226,209661,336055,483962,582545,177 days,53.39,39.05
PO37,405416,113938,239180,366696,608271,661875,204 days,23.97,39.88
PO38,403295,142161,242014,385256,566401,774991,183 days,56.72,15.32
PO39,401114,147500,234219,537714,554688,741667,254 days,7.91,32.84
PO4,313675,195541,255213,333474,453953,579999,154 days,68.38,66.1
PO40,426083,-,229119,395722,690439,510000,189 days,16.03,48.51
PO41,584361,135375,234757,555402,837383,1405000,208 days,9.09,22.22
PO5,340671,121193,241717,370706,684958,607078,225 days,42,43.81
PO6,431142,142559,278938,395541,534379,920882,137 days,57.15,63.22
PO7,446748,157057,286845,395353,543007,735312,173 days,66.24,61.52
PO8,446223,155781,303468,385833,591178,756526,161 days,57.76,58.06
PO9,449079,143750,254406,368910,657395,880704,159 days,69.62,57.18
PR1,200301,105908,139672,218309,376053,737723,219 days,64.25,56.29
PR2,257345,93670,148499,221075,374237,537302,152 days,112.3,71.88
PR25,279885,150750,183385,232038,376690,455999,139 days,46.19,94.39
PR26,346806,195000,227994,265069,408141,576111,140 days,46.5,33.18
PR3,348864,169205,165349,279982,495220,663585,166 days,135.72,37.95
PR4,355496,73414,158907,258240,427728,719057,144 days,179.79,42.53
PR5,256818,97075,157008,233979,375454,432765,121 days,68.93,85.25
PR6,405787,-,221669,305495,454998,925847,125 days,45.36,104.23
PR7,345780,77814,176428,275041,424540,627648,118 days,109.58,107.66
PR8,355285,119552,177815,283432,460613,623822,152 days,89.41,71.3
PR9,247575,93444,154604,246864,374369,545500,131 days,93.44,67.16
RG1,399850,191560,309858,424964,564577,622304,155 days,67.55,78.8
RG10,1130399,245000,411473,656206,1189674,1819783,203 days,23.5,60.38
RG12,396176,193143,260679,453999,599916,791875,115 days,78.78,88.41
RG14,430346,173320,255028,450406,625996,910666,175 days,50.4,84.35
RG17,724795,231060,632507,443072,673200,1653119,260 days,15.58,45.19
RG18,656404,149983,368995,464860,733247,1103864,128 days,25.55,83.49
RG19,483603,212354,297493,480939,654461,1182500,140 days,29.79,86.33
RG2,403157,188198,282667,427207,647748,939313,114 days,76.05,68.17
RG20,841716,325000,318069,497487,844070,1213235,173 days,21.16,91.8
RG21,272119,172568,232804,363337,536440,765000,150 days,34,111.76
RG22,380125,137854,246693,394167,544853,683325,96 days,39.69,151.97
RG23,504136,273333,368342,480404,597580,767500,106 days,30.28,76.64
RG24,454099,145875,282319,469070,631195,730000,116 days,37.76,152.74
RG25,2030053,156667,312613,532159,841316,1733571,129 days,14.88,75
RG26,593670,244479,380476,476220,763939,819917,152 days,24.67,104
RG27,600235,240525,349277,563970,748393,1239688,158 days,32.28,85.29
RG28,492677,161000,233995,627679,650000,805000,149 days,8.46,121.43
RG29,747285,141667,450544,617222,974633,1137500,143 days,8.39,95
RG30,388413,168122,266749,402358,573217,939086,115 days,58.96,93.81
RG31,511870,168094,276120,471976,700395,806250,120 days,35.75,81.12
RG4,721883,182039,316480,544352,1011591,1422861,142 days,55.56,73.76
RG40,642775,227759,335196,552388,794926,1197938,136 days,62.21,67.02
RG41,567555,230382,308008,563545,739040,1025714,133 days,34.74,109.09
RG42,749472,195874,349289,640469,840882,1279996,176 days,44.66,84.35
RG45,642692,250654,333106,585750,794833,1210455,132 days,26.59,65.81
RG5,451636,222333,323247,455769,580869,665625,82 days,39.88,136.7
RG6,542054,199350,310833,503042,651957,806538,162 days,23.89,132.56
RG7,684466,192700,295826,530244,812668,1374091,170 days,52.24,71.62
RG8,866220,355714,346125,612161,998009,1429786,169 days,34.08,58.85
RG9,1038470,347915,547360,891595,1162567,2149767,188 days,54.89,47.97
RH1,495209,201575,316515,590392,789438,1321957,150 days,95.6,52.3
RH10,478003,174524,269795,451472,663034,950625,126 days,96.67,79.31
RH11,397886,183988,299140,387927,612288,968888,108 days,73.61,87.55
RH12,557567,187981,331256,515200,756285,1210692,146 days,77.26,93.35
RH13,667382,202860,312623,529758,815740,1448545,153 days,58.43,64.43
RH14,735047,156993,370793,598175,1030530,1236954,159 days,26.98,67.13
RH15,457307,196921,300749,451829,695000,755714,138 days,49.57,105.26
RH16,549707,194515,320097,532104,753400,1135872,133 days,60.68,89.59
RH17,911570,179375,354292,594397,862551,1507045,151 days,37.55,47.09
RH18,573999,183750,324500,491667,737500,1120000,166 days,9.94,29.09
RH19,624102,187678,330949,482852,714540,1089541,177 days,66.27,49.62
RH2,633222,230118,414862,624325,964580,1379521,167 days,58.56,53.68
RH20,687036,198405,343749,536883,924722,1115678,188 days,62.23,38.21
RH3,783219,-,483382,679369,1225333,-,189 days,5.4,70.59
RH4,630754,231683,355219,641078,897095,1565833,177 days,26.1,55.84
RH5,787915,229553,358246,710009,992103,1448095,186 days,25.65,45.91
RH6,496000,167183,288686,519045,702930,1093765,167 days,46.17,96.5
RH7,627281,-,339958,596371,829612,1239545,170 days,14.65,55.42
RH8,915839,344162,476589,684100,1018663,1653306,216 days,22.78,44.51
RH9,629636,262500,409622,624748,1067857,1356250,162 days,10.74,44.83
RM1,396144,195193,293800,539359,834737,733333,163 days,35.15,66.49
RM10,341886,205775,305943,399800,481143,525000,123 days,26.83,120
RM11,967634,164333,348485,590254,800646,1422031,183 days,39.02,68.49
RM12,496044,262009,374209,508043,614700,767650,120 days,42.5,112.35
RM13,411517,158750,311145,443615,555435,625000,127 days,36.85,103.85
RM14,700276,282975,441977,650056,854830,1196563,176 days,33.07,72.68
RM15,404318,167222,291111,386508,511167,625000,149 days,32.01,89.31
RM16,488991,186000,318016,434615,651099,877500,165 days,41.45,74.12
RM17,334881,167827,262038,390816,596042,512475,144 days,33.33,95
RM18,334680,128125,229700,343214,465000,781000,156 days,18.65,59.79
RM19,249754,170000,231743,334200,458333,-,149 days,13.89,59.42
RM2,553013,236429,334074,702399,850160,1026667,228 days,10.39,88.61
RM20,281609,147500,250526,410417,483333,300000,158 days,8.73,80.43
RM3,410309,235362,328110,448434,638333,838889,163 days,39.75,86.11
RM4,936220,280000,330500,666765,1126092,1452083,208 days,12.4,27.91
RM5,473749,285000,333056,453788,597809,645625,99 days,24.24,107.5
RM6,368881,151019,281133,462140,582353,536999,148 days,38.31,64.55
RM7,398661,207291,326250,457870,566763,595000,128 days,33.52,104.2
RM8,362211,209647,357580,417727,462777,-,155 days,17.42,132.22
RM9,367820,220833,317643,402750,463333,547625,134 days,19.25,120.93
S1,142497,123559,170359,244313,-,-,286 days,17.52,26.95
S10,544188,131814,250894,351594,643158,968123,135 days,44.44,104.5
S11,448924,127643,283057,383927,486665,745682,134 days,35.6,110.69
S12,225259,61500,169813,207805,323854,415000,93 days,29.68,159.78
