outcode,in_employment,unemployed,unemployment_pct
GL13,2882,1834,38.89
GL14,7782,6343,44.91
GL15,10843,8687,44.48
GL16,6137,5374,46.69
GL17,6065,4876,44.57
GL18,4417,3450,43.85
GL19,5158,4719,47.78
GL2,30810,15918,34.07
GL20,14425,9747,40.32
GL3,17257,11090,39.12
GL4,22140,14756,39.99
GL5,16332,10932,40.1
GL50,15005,9862,39.66
GL51,24355,16475,40.35
GL52,24544,15517,38.73
GL53,8475,6157,42.08
GL54,12328,9290,42.97
GL55,2721,2476,47.64
GL56,4486,3464,43.57
GL6,10420,8111,43.77
GL7,22787,16453,41.93
GL8,4641,3101,40.05
GL9,861,568,39.75
GU1,18686,13328,41.63
GU10,15148,10823,41.67
GU11,15746,8367,34.7
GU12,16337,8594,34.47
GU13,18752,11467,37.95
GU14,30249,16141,34.79
GU15,25750,15491,37.56
GU16,11179,6298,36.04
GU17,17107,10797,38.69
GU18,3688,2509,40.49
GU19,3114,1865,37.46
GU2,15422,13177,46.08
GU20,2145,1484,40.89
GU21,27035,15365,36.24
GU22,18689,11002,37.05
GU23,3702,2694,42.12
GU24,9339,5460,36.89
GU25,3136,2348,42.82
GU26,4078,3346,45.07
GU27,9214,6223,40.31
GU28,3186,2775,46.55
GU29,4500,3685,45.02
GU3,4210,3250,43.57
GU30,4757,3269,40.73
GU31,6569,5127,43.84
GU32,5460,3882,41.55
GU33,3954,3008,43.21
GU34,16515,11513,41.08
GU35,11790,6345,34.99
GU4,6671,4029,37.65
GU47,113,45,28.48
GU5,5259,4037,43.43
GU51,3370,1020,23.23
GU52,873,214,19.69
GU6,6907,6174,47.2
GU7,12383,7397,37.4
GU8,7791,5273,40.36
GU9,13397,9294,40.96
HA0,29183,19761,40.37
HA1,24083,14677,37.87
HA2,29194,19614,40.19
HA3,37405,26737,41.68
HA4,27672,16371,37.17
HA5,21333,15236,41.66
HA6,11117,7609,40.63
HA7,18301,12953,41.44
HA8,34027,22753,40.07
HA9,27342,19306,41.39
HD1,14133,16063,53.2
HD2,11619,10338,47.08
HD3,15459,10707,40.92
HD4,11273,10122,47.31
HD5,12974,10831,45.5
HD6,12572,9896,44.04
HD7,26975,18812,41.09
