outcode,Avg asking rent(p/m),Avg asking rent(1 bed),Avg asking rent(2 beds),Avg asking rent(3 beds),Avg asking rent(4 beds),Avg asking rent(5 beds),avg_gross_yield
CT11,1106.0,837,1178,1335,1594,1500,3.81
CT12,1430.0,913,1117,1400,3250,1695,4.5
CT13,1467.0,975,1219,-,1838,-,3.67
CT14,1224.0,839,1087,1433,2900,-,3.4
CT15,1450.0,-,1200,1575,-,-,3.19
CT16,975.0,755,863,1338,1600,-,3.55
CT17,1368.0,751,979,1274,1500,1600,6.11
CT18,1094.0,-,1075,1350,1850,-,2.79
CT19,1346.0,698,1165,1450,1933,-,5.05
CT2,1274.0,714,1251,1569,1534,1970,3.59
CT20,1230.0,776,1112,1666,2325,-,3.95
CT21,1194.0,890,1086,1650,1850,-,2.84
CT3,1470.0,975,1325,1600,1882,-,3.34
CT4,2027.0,800,1225,2457,2550,-,3.29
CT5,1387.0,792,1283,1703,-,-,3.21
CT6,1397.0,944,1331,1617,1850,-,4.25
CT7,1283.0,998,1075,-,2000,-,4.14
CT8,1126.0,880,973,1200,-,2000,3.92
CT9,1311.0,922,1105,1792,1990,-,4.31
CV1,1231.0,702,1277,1547,1924,2311,7.03
CV10,1044.0,700,841,1125,1370,-,4.62
CV11,1004.0,844,906,1128,1354,1750,3.71
CV12,1011.0,575,873,1100,1895,-,4.19
CV13,1212.0,1083,950,1286,-,-,2.55
CV2,1096.0,680,1033,1320,1687,1614,5.76
CV21,901.0,750,953,1231,1590,580,4.11
CV22,1295.0,684,2006,1270,1817,-,4.06
CV23,1345.0,541,935,1477,1867,2150,3.5
CV3,1263.0,739,1096,1298,1614,3023,4.75
CV31,1886.0,695,1426,1495,1832,2040,5.77
CV32,1966.0,1007,1380,1642,2123,2845,5.02
CV33,1709.0,-,1250,1570,1875,2200,4.19
CV34,1335.0,905,1199,1308,2007,2200,4.12
CV35,1901.0,738,1370,1944,1617,6500,2.92
CV36,3811.0,650,1043,-,3658,-,7.67
CV37,2094.0,1709,2135,1927,2192,3498,5.1
CV4,1592.0,595,1173,1356,1944,2161,5.23
CV47,1386.0,748,875,1475,1850,3500,3.38
CV5,1312.0,738,1012,1432,1816,1786,4.62
CV6,1140.0,677,1151,1192,1646,-,5.89
CV7,1459.0,861,917,1482,2074,2500,3.38
CV8,1490.0,1065,1179,1334,2158,2812,3.67
CV9,890.0,599,861,1048,1500,1950,2.45
CW1,844.0,573,815,899,1498,-,4.12
CW10,1107.0,-,-,1048,1400,-,3.93
CW11,927.0,595,861,1049,1125,-,2.88
CW12,1099.0,600,874,1141,1625,2400,3.49
CW2,977.0,620,785,953,1652,2425,3.64
CW3,1215.0,600,1635,893,-,-,2.76
CW4,1974.0,-,-,1548,3250,-,4.01
CW5,1441.0,619,1089,1178,1558,2200,3.7
CW6,1814.0,795,1588,1700,1638,4950,3.06
CW7,1223.0,582,721,936,2117,-,5.74
CW8,1194.0,548,952,1267,2070,-,3.87
CW9,1001.0,561,877,1175,1556,1750,3.49
DA1,1815.0,1215,1743,2339,2762,-,6.0
DA10,1768.0,-,1733,1954,-,-,6.15
DA11,1317.0,1102,1444,1807,2200,-,4.41
DA12,1316.0,1004,1324,1666,1800,2700,3.93
DA13,2071.0,-,1433,1730,2975,2500,3.88
DA14,1691.0,1421,1711,1867,2600,2995,4.34
DA15,2022.0,1233,1694,2042,3436,-,4.56
DA16,1961.0,1517,1837,2085,2481,-,5.23
DA17,1915.0,2000,1775,2450,2350,-,6.62
DA2,2156.0,1332,1508,2079,2267,2500,5.42
DA3,1800.0,1200,1575,1717,1900,2600,3.87
DA4,1433.0,1350,1499,1725,-,-,3.17
DA5,2308.0,1500,1625,2200,2600,2750,4.86
DA6,1681.0,1650,1709,1875,-,-,3.89
DA7,1802.0,800,1637,1967,2119,-,4.53
DA8,1650.0,1360,1620,1924,2450,3650,5.48
DA9,1820.0,1280,1516,2372,2514,3800,6.87
DE1,905.0,743,1119,1121,1402,1851,5.63
DE11,733.0,543,796,967,1349,-,3.14
DE12,915.0,650,824,1275,-,-,2.77
DE13,986.0,608,1029,1135,1721,2250,2.74
DE14,801.0,643,816,837,3100,2250,4.55
DE15,1500.0,395,763,955,1848,2300,5.58
DE21,865.0,617,844,973,1700,-,3.7
DE22,958.0,566,884,1181,1426,1303,3.22
DE23,849.0,645,925,1087,1568,1100,3.36
DE24,825.0,622,875,1001,1880,-,4.13
DE3,1099.0,747,865,1180,1498,-,3.68
DE4,1203.0,661,1047,1135,2749,-,3.38
DE45,1348.0,800,985,1550,-,2500,2.62
DE5,768.0,573,703,890,1200,-,2.97
DE55,898.0,629,789,1007,1300,-,3.52
DE56,1157.0,689,1041,1496,1700,2600,3.9
DE6,1031.0,672,931,1093,1688,2450,2.4
DE65,1007.0,717,870,1288,1850,-,3.13
DE7,942.0,847,824,1147,1600,3000,3.55
DE72,1340.0,890,987,1100,2350,-,4.29
DE73,1157.0,785,902,2050,1400,3350,3.52
DE74,775.0,598,850,-,1055,-,2.4
DE75,1025.0,575,1200,999,1513,-,4.48
DH1,1268.0,813,1069,1159,1962,1654,4.23
DH2,987.0,1950,866,1070,-,-,5.52
DH3,712.0,481,758,695,-,1050,3.04
DH4,729.0,806,654,768,-,-,3.73
DH5,659.0,494,631,670,935,-,4.14
DH6,684.0,415,592,724,784,-,3.74
DH7,814.0,525,674,936,1150,-,4.03
DH8,816.0,553,672,945,-,1600,3.91
DH9,566.0,450,525,662,-,-,4.01
DL1,687.0,640,705,770,1250,-,4.49
DL10,863.0,573,797,1175,1200,-,2.72
DL11,868.0,-,665,1275,-,-,2.29
DL12,785.0,550,704,788,1500,-,2.5
DL13,769.0,-,581,876,1150,-,3.06
