outcode,Total households,One Person household,Single family Household,Other household type
DH9,17261,6101,10633,527
DH98,169,96,70,3
DL1,24260,8629,14668,963
DL10,9725,3019,6392,314
DL11,1863,532,1275,56
DL12,6041,2075,3803,163
DL13,6659,2237,4195,227
DL14,17891,6176,11172,543
DL15,9982,3344,6307,331
DL16,9831,3261,6324,246
DL17,8658,3227,5180,251
DL2,8012,2139,5617,256
DL3,17813,6331,10875,607
DL4,4458,1791,2532,135
DL5,12314,3930,7988,396
DL6,8838,2723,5817,298
DL7,5701,1607,3882,212
DL8,8269,2618,5393,258
DL9,4554,1009,3345,200
DN1,6093,3018,2588,487
DN10,6506,1867,4411,228
DN11,13291,3879,8876,536
DN12,10872,3472,6957,443
DN14,22005,6079,14845,1081
DN15,16177,4773,10200,1204
DN16,14073,4491,8932,650
DN17,15367,4476,10209,682
DN18,6174,1876,4071,227
DN19,2649,687,1858,104
DN2,10846,3358,6825,663
DN20,8527,2454,5782,291
DN21,17562,5541,11321,700
DN22,16541,5235,10748,558
DN3,13396,4018,8880,498
DN31,6710,2805,3529,376
DN32,11631,4065,6894,672
DN33,9146,2634,6145,367
DN34,7211,2205,4702,304
DN35,15207,5320,9299,588
DN36,9025,2402,6338,285
DN37,11900,3419,8065,416
DN38,1139,257,832,50
DN39,1270,302,904,64
DN4,22670,7119,14246,1305
DN40,4777,1431,3111,235
DN41,116,11,102,3
DN5,18285,5610,11979,696
DN6,12539,3639,8313,587
DN7,9285,2699,6192,394
DN8,8045,2357,5287,401
DN9,8419,2057,6044,318
DT1,10379,3737,6242,400
DT10,5543,1649,3618,276
DT11,12536,3526,8488,522
DT2,11084,2944,7625,515
DT3,11936,3609,7756,571
DT4,16761,6082,9739,940
DT5,5476,1726,3488,262
DT6,10737,3687,6660,390
DT7,2830,906,1837,87
DT8,2752,835,1806,111
DT9,9281,3153,5829,299
DY1,16285,4928,10430,927
DY10,18144,5915,11388,841
DY11,13659,4109,8958,592
DY12,6595,2055,4306,234
DY13,9760,3083,6309,368
DY14,4009,965,2822,222
