outcode,1 person,2 people,3 people,4 people,5 person plus
TS1,3591,2103,1139,888,994
TS10,5913,5665,2757,1937,855
TS11,1782,2064,780,504,184
TS12,3390,3840,1499,1064,435
TS13,1593,1676,611,399,292
TS14,2662,3389,1243,911,319
TS15,1969,2721,981,792,277
TS16,1402,1843,774,678,278
TS17,5512,6169,3612,2864,1351
TS18,4062,3549,1740,1362,922
TS19,4698,5155,2544,1772,870
TS2,149,125,72,47,37
TS20,3336,3256,1369,872,421
TS21,1568,1999,882,650,234
TS22,1148,1912,743,601,230
TS23,3887,4248,2005,1392,669
TS24,4462,3681,1868,1070,661
TS25,5668,6127,2863,1957,840
TS26,2911,3221,1637,1224,550
TS27,1620,1719,758,441,169
TS28,753,866,394,267,102
TS29,871,918,427,247,138
TS3,4510,3749,2392,1459,956
TS4,2574,2224,1380,948,632
TS5,4428,5036,2509,1909,1239
TS6,4446,4367,2276,1397,721
TS7,3014,3932,1538,1314,495
TS8,3037,2966,1352,921,442
TS9,1877,2319,771,543,170
TW1,3919,4134,2091,2112,687
TW10,2795,2623,1426,1349,553
TW11,3309,3369,1767,1643,491
TW12,2817,3066,1693,1540,540
TW13,3436,3642,2851,2537,1888
TW14,2885,2733,2167,2033,1753
TW15,3391,3795,2251,2017,915
TW16,2259,2830,1691,1487,599
TW17,1744,1998,909,806,297
TW18,3315,3892,2024,1685,609
TW19,1843,1944,1207,1085,720
TW2,2936,3537,2276,2277,882
TW20,2441,2671,1485,1331,754
TW3,3805,3955,3514,3241,2827
TW4,1793,2024,1774,1698,1878
TW5,1790,1904,1829,1928,2109
TW6,140,142,123,98,96
TW7,3854,4252,2937,2523,1553
TW8,3778,3580,1868,1269,760
TW9,2854,3051,1460,1130,426
UB1,2663,2673,2274,2573,3616
UB10,3488,4353,2803,2776,1728
UB11,119,125,110,127,88
UB18,15,23,18,37,39
UB2,2015,2144,1827,2163,2670
UB3,3660,3810,3275,3203,3405
UB4,2681,3027,2598,2704,2557
UB5,3928,4198,3357,3103,2590
UB6,3996,4082,3259,2922,2656
UB7,3023,3373,2554,2098,1633
UB8,3930,3622,2306,1763,1365
UB9,1771,1764,965,746,365
W1,54,54,8,1,1
W10,5668,4212,2338,1565,1703
W11,6522,4114,1797,1237,1069
W12,7626,6575,3454,2348,1793
W13,4666,4875,2866,2275,1028
W14,6620,5452,2326,1422,898
W1A,2850,1697,529,282,160
W1B,186,99,35,10,6
W1C,283,117,44,33,27
W1D,311,158,54,30,36
W1G,291,218,56,40,14
W1H,1150,838,273,155,104
W1J,63,32,10,6,1
W1K,53,29,18,3,19
W1M,348,234,51,36,21
W1N,164,58,9,2,3
W1P,778,449,160,68,60
W2,8614,5873,2400,1462,1202
W3,7421,6640,3719,2998,2083
W4,6642,6497,3105,2547,1025
W5,5866,6110,3300,2594,1200
W6,5133,4253,2035,1465,734
W7,2612,2838,2070,1861,1020
W8,2336,1998,871,663,467
W9,5530,4427,2162,1338,1013
WA1,3725,3988,1921,1330,466
WA10,6961,6377,3243,2084,785
WA11,5199,6471,3013,1964,800
WA12,3594,3955,1928,1426,538
WA13,1676,2057,910,936,310
WA14,4053,4581,2261,2109,828
WA15,4021,4951,2672,2973,1221
WA16,2694,3515,1343,1253,473
WA2,6016,5939,3041,2075,1070
WA3,6445,7745,3404,2571,1030
WA4,6641,7871,3616,2830,985
WA5,6521,8652,4487,3588,1388
WA6,2529,3350,1289,1030,315
WA7,8785,9319,4610,3130,1427
WA8,8657,9078,4695,3507,1539
WA9,6636,7275,3882,2574,1198
WC1A,549,399,128,63,51
WC1B,142,110,35,16,5
WC1E,109,91,16,11,3
WC1H,1362,748,272,165,176
WC1N,980,615,250,133,140
WC1R,64,41,7,5,2
WC1V,63,22,16,9,8
