outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
E11,642698,2250.0,4.2
E12,497014,2109.0,5.09
E13,400006,2164.0,6.49
E14,669908,3085.0,5.53
E15,492856,2420.0,5.89
E16,475086,2418.0,6.11
E17,545910,2220.0,4.88
E18,499379,2359.0,5.67
E2,630791,2802.0,5.33
E3,451366,2479.0,6.59
E4,565732,2013.0,4.27
E5,665905,2625.0,4.73
E6,392919,2166.0,6.62
E7,468987,2111.0,5.4
E8,696206,2972.0,5.12
E9,625041,2975.0,5.71
EC1,958219,3705.0,4.64
EC2,2364547,4082.0,2.07
EC3,1507727,5500.0,4.38
EC4,1375060,4848.0,4.23
EN1,487279,2045.0,5.04
EN10,664499,1640.0,2.96
EN11,458688,1522.0,3.98
EN2,587505,2233.0,4.56
EN3,371695,1983.0,6.4
EN4,1023511,3816.0,4.47
EN5,908456,2548.0,3.37
EN6,823532,3088.0,4.5
EN7,691444,3541.0,6.15
EN8,391066,1546.0,4.74
EN9,571114,2709.0,5.69
EX1,366703,1637.0,5.36
EX10,513684,1418.0,3.31
EX11,609545,1003.0,1.97
EX12,425340,914.0,2.58
EX13,443452,960.0,2.6
EX14,421225,1018.0,2.9
EX15,451371,1061.0,2.82
EX16,444512,1135.0,3.06
EX17,536858,891.0,1.99
EX18,497351,1225.0,2.96
EX19,402160,1100.0,3.28
EX2,372866,1523.0,4.9
EX20,431218,990.0,2.75
EX21,447007,1156.0,3.1
EX22,439221,927.0,2.53
EX23,386333,1164.0,3.62
EX24,670044,1643.0,2.94
EX3,765094,2198.0,3.45
EX31,466280,917.0,2.36
EX32,386973,900.0,2.79
EX33,548449,1234.0,2.7
EX34,358840,844.0,2.82
EX35,535035,,
EX36,397759,1017.0,3.07
EX37,623757,1167.0,2.25
EX38,325306,886.0,3.27
EX39,389046,1085.0,3.35
EX4,348231,1555.0,5.36
EX5,492756,1270.0,3.09
EX6,464521,1303.0,3.37
EX7,335755,1290.0,4.61
EX8,392286,1388.0,4.25
EX9,520889,1550.0,3.57
FY1,123086,650.0,6.34
FY2,192032,620.0,3.87
FY3,191295,794.0,4.98
FY4,212283,624.0,3.53
FY5,227361,896.0,4.73
FY6,289708,1103.0,4.57
FY7,186182,637.0,4.11
FY8,372487,986.0,3.18
GL1,233639,1301.0,6.68
GL10,418939,1399.0,4.01
GL11,432057,1906.0,5.29
GL12,545250,1529.0,3.37
GL13,486634,2982.0,7.35
GL14,322233,826.0,3.08
GL15,384947,1508.0,4.7
GL16,388856,900.0,2.78
GL17,387295,1200.0,3.72
GL18,437682,960.0,2.63
GL19,808096,1300.0,1.93
GL2,405655,1445.0,4.27
GL20,377729,1795.0,5.7
GL3,358846,1285.0,4.3
GL4,411213,1431.0,4.18
GL5,484159,1157.0,2.87
GL50,477521,1387.0,3.49
GL51,405610,1382.0,4.09
GL52,554814,1807.0,3.91
GL53,711254,1318.0,2.22
GL54,776956,3113.0,4.81
GL55,743106,1749.0,2.82
GL56,720867,3124.0,5.2
GL6,824598,2691.0,3.92
GL7,714383,2249.0,3.78
