outcode,total_households,poverty_pct
DN2,10857,57.52
DN20,8510,51.66
DN21,17576,54.35
DN22,16526,51.11
DN3,13435,51.48
DN31,6691,66.39
DN32,11622,61.22
DN33,9128,55.24
DN34,7220,55.44
DN35,15233,55.96
DN36,9031,47.74
DN37,11924,48.99
DN38,1134,48.15
DN39,1274,53.77
DN4,22631,54.08
DN40,4761,58.75
DN41,116,29.31
DN5,18301,53.28
DN6,12523,59.26
DN7,9276,58.65
DN8,8056,61.01
DN9,8429,45.02
DT1,10361,48.99
DT10,5545,49.9
DT11,12552,48.77
DT2,11051,45.93
DT3,11926,50.93
DT4,16772,56.29
DT5,5484,57.06
DT6,10737,51.37
DT7,2843,47.24
DT8,2751,49.95
DT9,9262,46.71
DY1,16286,59.79
DY10,18105,52.78
DY11,13654,55.1
DY12,6591,52.74
DY13,9742,54.86
DY14,4009,50.49
DY2,12862,62.63
DY3,16045,55.0
DY4,19146,64.12
DY5,18612,58.75
DY6,13018,50.9
DY7,3363,47.58
DY8,21467,49.94
DY9,11548,52.97
E1,36866,55.35
E10,18979,57.95
E11,22163,51.47
E12,12977,67.04
E13,18232,66.61
E14,43666,50.23
E15,23090,55.66
E16,23303,51.41
E17,40906,53.5
E18,8371,43.07
E1W,417,56.59
E2,19735,55.16
E20,2974,32.35
E3,25196,55.17
E4,25550,53.48
E5,20668,60.6
E6,23901,66.75
E7,14770,64.16
E8,21048,52.28
E9,14635,59.26
EC1A,1510,37.22
EC1M,1438,37.0
EC1N,1379,53.37
EC1R,2959,52.59
EC1V,8706,49.21
EC1Y,2048,55.27
EC2A,693,32.61
EC2P,241,31.95
EC2Y,917,33.37
EC3N,161,27.33
EC4A,111,33.33
EC4Y,98,25.51
EN1,20152,54.68
EN10,7860,47.96
EN11,9176,52.57
EN2,12171,47.89
EN3,21201,65.38
EN4,12279,47.81
EN5,16083,47.67
EN6,12094,48.76
EN7,8838,51.52
EN8,15034,57.5
EN9,9850,56.87
EX1,13936,49.67
EX10,8984,49.28
EX11,4160,45.75
EX12,5091,53.49
EX13,7796,51.26
EX14,10080,51.53
EX15,10196,48.5
EX16,15315,52.82
EX17,9216,51.17
EX18,1904,51.89
EX19,1730,50.69
EX2,20059,47.61
EX20,10172,52.67
EX21,1904,54.99
EX22,5276,54.62
EX23,7063,54.03
EX3,1982,43.19
EX31,13780,50.85
EX32,10010,52.85
EX33,4826,46.81
EX34,6812,55.97
EX35,726,52.2
EX36,4259,53.7
EX37,1142,49.74
EX38,3901,52.88
EX39,17271,53.7
EX4,20838,51.37
EX5,9378,43.82
EX6,6598,46.73
EX7,6621,55.13
EX8,16887,51.94
EX9,3164,48.77
FY0,128,53.91
FY1,17389,68.64
FY2,11481,58.56
FY3,13927,56.49
FY4,20514,59.2
FY5,20606,55.82
FY6,13472,49.33
FY7,11543,64.23
FY8,21279,50.73
GL1,18436,55.33
GL10,7498,46.72
GL11,8829,47.07
GL12,5889,42.11
GL13,2464,46.43
GL14,7376,54.64
GL15,10193,51.12
GL16,6116,55.66
GL17,5512,51.27
GL18,4128,49.2
GL19,4345,43.06
GL2,23948,43.68
GL20,12851,46.74
GL3,14936,46.28
GL4,18984,51.71
GL5,14664,45.42
GL50,13651,41.88
GL51,21756,49.6
GL52,21520,41.5
GL53,7566,35.28
GL54,11535,42.41
GL55,2784,40.95
GL56,4369,44.98
GL6,9665,42.26
GL7,20596,44.29
GL8,4196,40.06
GL9,711,43.32
GU1,15309,42.26
GU10,12630,37.02
GU11,11532,50.33
GU12,12554,47.63
GU13,15086,39.52
GU14,22786,47.51
GU15,19632,43.84
GU16,8611,41.06
GU17,13671,43.13
GU18,3111,39.44
GU19,2608,42.98
GU2,11724,45.35
GU20,1834,33.86
GU21,21179,45.51
GU22,14564,41.48
GU23,3133,39.96
GU24,6225,39.15
GU25,2626,35.68
GU26,3629,40.09
GU27,7837,39.71
GU28,3073,44.84
GU29,4542,46.06
GU3,3626,44.68
GU30,4134,43.2
GU31,6150,41.17
GU32,4772,43.69
GU33,3371,40.64
GU34,14293,43.52
GU35,9189,45.82
GU4,5560,37.77
GU47,80,42.5
GU5,4639,37.1
GU51,2197,30.0
GU52,550,32.55
GU6,6600,43.67
GU7,10212,39.6
GU8,6630,40.42
GU9,11625,43.17
HA0,18061,62.63
HA1,17552,50.6
HA2,20706,51.4
HA3,25436,56.09
HA4,21164,45.9
HA5,17005,43.92
HA6,8947,42.16
HA7,13552,49.2
HA8,24145,56.92
HA9,17948,57.42
HD1,14707,61.29
HD2,11267,55.92
HD3,14321,48.39
HD4,11508,54.79
HD5,12895,54.32
HD6,12509,52.01
HD7,24364,44.18
HD8,14000,43.38
HD9,126,44.44
HG1,17604,45.04
HG2,13596,40.4
HG3,12286,40.21
HG4,11091,46.59
HG5,8558,43.87
HP1,12422,46.32
HP10,9726,39.74
HP11,7902,46.91
HP12,7682,53.51
HP13,16514,47.7
HP14,8118,39.96
HP15,6467,41.83
HP16,5270,37.67
HP17,11232,41.58
HP18,9129,37.44
HP19,11258,49.75
HP2,17207,53.77
HP20,6368,48.4
HP21,13400,48.07
HP22,11447,38.88
HP23,8062,40.5
HP3,13280,45.77
HP4,10205,39.06
HP5,10767,47.21
HP6,6576,38.59
HP7,3940,37.39
HP8,2689,36.78
HP9,6701,35.77
HR1,16180,48.88
HR2,16809,53.24
HR3,3921,46.11
HR4,12924,49.47
HR5,2934,50.95
HR6,8880,53.22
HR7,4028,53.0
HR8,6585,49.57
HR9,8943,51.37
HU1,4070,57.67
HU10,9219,44.15
HU11,7845,50.92
HU12,10996,50.27
HU13,6680,44.33
HU14,3774,37.31
HU15,10073,40.88
HU16,7454,46.34
HU17,18651,44.14
HU18,3703,56.68
HU19,3100,66.23
HU2,1843,70.37
HU20,128,50.78
HU3,13139,64.61
HU4,10490,57.07
HU5,21885,53.27
HU6,13684,62.69
HU7,19877,55.6
HU8,15187,56.48
HU9,17091,62.54
HX1,12356,62.38
HX2,15989,53.81
HX3,18077,50.63
HX4,4650,42.54
HX5,3874,55.45
HX6,8080,48.21
HX7,5973,47.53
IG1,22610,61.61
IG10,13829,48.56
IG11,22178,60.59
IG2,11157,53.53
IG3,10364,59.92
IG4,3077,52.78
IG5,5784,54.65
IG6,11106,54.68
IG7,8005,50.06
IG8,13701,47.33
IG9,4998,41.32
IP1,18716,56.54
IP10,4996,48.92
IP11,11462,56.02
IP12,11650,46.88
IP13,8634,46.18
IP14,18946,48.11
IP15,1509,50.17
IP16,3122,55.06
IP17,5615,50.72
IP18,2054,52.04
IP19,4626,53.44
IP2,13863,59.98
IP20,4002,54.45
IP21,5481,50.63
IP22,10104,52.59
IP23,2808,48.08
IP24,12322,56.11
IP25,9230,56.52
IP26,4392,55.19
IP27,8510,58.03
IP28,13370,51.5
IP29,3960,44.97
IP3,15400,52.92
IP30,6300,45.84
IP31,8451,47.46
IP32,7951,47.06
IP33,10520,51.45
IP4,15328,47.81
IP5,7334,45.55
IP6,7389,46.83
IP7,6600,47.45
IP8,4322,45.4
IP9,4873,45.52
KT1,11234,46.98
KT10,9087,34.3
KT11,6661,38.51
KT12,17136,41.66
KT13,9172,36.03
KT14,5524,44.01
KT15,12208,46.4
KT16,8369,47.46
KT17,11766,39.55
KT18,8103,42.87
KT19,14123,44.52
KT2,12965,39.31
KT20,8082,44.99
KT21,5710,40.26
KT22,10032,41.8
KT23,4503,44.79
KT24,3189,35.94
KT3,14971,45.03
KT4,11084,44.29
KT5,8769,44.38
KT6,13205,40.36
KT7,3506,33.31
KT8,8500,41.42
KT9,7659,49.48
L1,6464,50.26
L10,7102,55.91
L11,13651,65.26
L12,13367,53.9
L13,14790,62.81
L14,12069,58.31
L15,13017,54.04
L16,5639,42.92
L17,11756,47.47
L18,10113,42.52
L19,9905,53.48
L2,1771,37.1
L20,17396,66.17
L21,10624,62.49
L22,6733,51.3
L23,12548,48.04
L24,7682,62.05
L25,15151,55.89
L26,6045,55.65
L27,2661,68.73
L28,2750,71.53
L3,6709,50.65
L30,8867,64.18
L31,13219,48.78
L32,9406,65.52
L33,7418,62.7
L34,7403,52.56
L35,13172,55.04
L36,16371,59.5
L37,10045,46.16
L38,999,42.94
L39,12036,47.23
L4,18965,67.09
L40,8481,45.94
L5,5448,71.24
L6,9813,66.0
L67,100,53.0
L68,234,49.15
L69,2549,62.22
L7,6570,62.16
L70,53,75.47
L8,11724,66.07
L9,11798,59.47
LA1,22899,50.5
LA10,1672,45.16
LA11,5401,44.86
LA12,9408,44.4
LA13,9458,48.79
LA14,16607,56.9
LA15,3384,50.21
LA16,1409,49.33
LA17,552,44.75
LA18,3708,53.48
LA19,336,52.98
LA2,9663,43.27
LA20,505,43.96
LA21,639,46.79
LA22,2178,46.1
LA23,3641,45.73
LA3,11181,56.39
LA4,11291,58.21
LA5,7713,46.58
LA6,5155,42.83
LA7,2086,45.35
LA8,3776,40.94
LA9,14096,46.92
LD1,5964,54.09
LD2,2582,50.85
LD3,8316,48.35
LD4,354,51.41
LD5,387,51.16
LD6,1248,50.32
LD7,2173,51.17
LD8,1611,51.83
LE1,8376,60.05
LE10,23537,48.38
LE11,24461,50.71
LE12,30060,42.86
LE13,12529,49.25
LE14,8094,43.85
LE15,14793,41.96
LE16,16645,42.46
LE17,9549,42.48
LE18,14453,53.11
LE19,8042,44.94
LE2,45568,54.81
LE3,42504,56.04
LE4,38064,61.97
LE5,29276,61.9
LE55,225,37.78
LE6,36458,49.49
LE65,336,34.82
LE67,2404,39.39
LE7,20006,43.48
LE8,16799,43.98
LE9,23519,47.87
LL11,19906,51.2
LL12,11131,48.17
LL13,13395,56.33
LL14,14610,55.89
LL15,5087,45.61
LL16,6749,51.06
LL17,2589,50.6
LL18,18147,61.17
LL19,8800,58.57
LL20,3182,49.15
LL21,2793,49.77
LL22,8874,57.64
LL23,1647,48.27
LL24,1033,46.47
LL25,207,47.83
LL26,1873,50.67
LL27,281,51.6
LL28,6795,52.85
LL29,7979,54.63
LL30,10542,55.42
LL31,4143,48.56
LL32,2827,48.96
LL33,2061,50.7
LL34,1969,50.94
LL35,517,44.29
LL36,2041,53.55
LL37,344,55.52
LL38,368,62.77
LL39,147,54.42
LL40,1953,48.95
LL41,2806,53.46
LL42,1038,53.95
LL43,239,51.05
LL44,369,55.01
LL45,448,53.57
LL46,938,52.56
LL48,1302,48.23
LL49,1723,49.16
LL51,524,51.34
LL52,1303,45.59
LL53,6885,50.81
LL54,5059,51.41
LL55,9159,49.07
LL56,1052,40.97
