outcode,race_ethnicity_total,race_ethnicity_white,race_ethnicity_black,race_ethnicity_asian,race_ethnicity_other,race_ethnicity_two_or_more
EX14,22699,22207,48,163,52,229
EX15,24378,23835,33,187,58,265
EX16,35280,34593,30,238,74,345
EX17,21284,20815,33,122,67,247
EX18,4256,4183,5,20,9,39
EX19,3930,3876,4,18,4,28
EX2,46415,43128,272,1529,480,1006
EX20,23576,23086,57,127,81,225
EX21,4511,4430,11,25,16,29
EX22,12411,12237,10,61,17,86
EX23,15838,15417,15,94,117,195
EX3,4621,4367,51,112,32,59
EX31,32074,30944,169,494,144,323
EX32,23136,22261,90,377,62,346
EX33,11090,10846,15,56,35,138
EX34,14935,14596,29,76,46,188
EX35,1531,1499,2,9,4,17
EX36,9632,9394,19,78,39,102
EX37,2640,2586,1,19,2,32
EX38,9007,8881,9,28,15,74
EX39,37644,36870,48,229,91,406
EX4,57129,51254,543,2966,869,1497
EX5,22587,21959,61,159,98,310
EX6,15082,14759,22,80,27,194
EX7,14189,13883,15,117,40,134
EX8,37627,36803,62,319,84,359
EX9,6641,6516,11,36,7,71
FY0,236,225,0,7,0,4
FY1,37885,34889,315,1506,423,752
FY2,24772,23850,75,394,121,332
FY3,31134,29095,161,1142,196,540
FY4,45039,43392,169,701,147,630
FY5,44130,43091,113,436,84,406
FY6,28942,28214,64,292,65,307
FY7,25812,25065,64,225,131,327
FY8,43527,41850,156,651,231,639
GL1,43329,32255,2346,5806,1026,1896
GL10,17978,17146,153,237,69,373
GL11,20417,19892,62,142,50,271
GL12,15109,14674,79,107,44,205
GL13,5672,5549,10,36,11,66
GL14,16970,16463,38,165,115,189
GL15,23277,22808,36,142,66,225
GL16,13681,13440,23,85,24,109
GL17,12937,12718,17,78,22,102
GL18,9370,9096,41,60,62,111
GL19,11467,11153,48,68,23,175
GL2,58487,53803,1129,1509,357,1689
GL20,29164,28241,110,365,71,377
GL3,35049,32639,407,956,243,804
GL4,45613,40823,1437,1395,249,1709
GL5,32695,31308,137,368,168,714
GL50,28319,25182,351,1596,338,852
GL51,50274,46058,528,2007,580,1101
GL52,49246,46091,321,1397,321,1116
GL53,18240,17088,75,565,103,409
GL54,25740,25019,84,223,66,348
GL55,6061,5940,13,37,17,54
GL56,9338,9075,28,90,22,123
GL6,22050,21374,44,205,63,364
GL7,46769,44810,253,770,212,724
GL8,9289,8954,35,98,25,177
GL9,1714,1693,3,5,4,9
GU1,38266,31697,599,3309,1083,1578
GU10,32263,30271,197,940,195,660
GU11,29979,20847,1191,6053,1127,761
GU12,30615,26512,472,2554,434,643
GU13,36926,34111,252,1461,269,833
GU14,57070,46236,1089,6802,1380,1563
GU15,50331,40893,890,6036,1162,1350
GU16,21581,18496,350,1847,353,535
GU17,33808,31155,366,1357,254,676
GU18,7289,6547,53,432,66,191
GU19,6191,5459,78,349,103,202
GU2,33850,26957,786,3972,895,1240
GU20,4399,4021,26,204,43,105
GU21,53496,40988,1000,8494,1172,1842
GU22,36847,28695,730,5367,773,1282
GU23,7681,7252,68,147,63,151
GU24,18363,16348,396,883,245,491
GU25,6705,5216,83,943,193,270
