outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
PL9,1663,2459,2033,1320,1692,1248,950,650,1036
PO1,1066,2002,1385,1047,1240,1700,1429,1184,2187
PO10,1446,2041,1974,847,959,796,565,352,637
PO11,1078,1187,879,655,912,691,483,420,591
PO12,2389,3132,3349,2305,2832,2639,1800,1456,2374
PO13,1758,2229,2500,1774,1957,2021,1383,1156,1800
PO14,2378,3574,3033,2022,1815,1512,1221,774,1313
PO15,1710,2727,2067,1309,1117,932,949,609,848
PO16,2027,3090,2339,1690,1682,1295,1048,821,1158
PO17,745,809,625,389,401,325,214,174,262
PO18,1488,1732,1116,591,867,654,410,317,591
PO19,1912,3435,2048,1149,1396,1402,1243,756,1576
PO2,1898,3265,2425,2076,2746,2535,1803,1868,2779
PO20,2448,2490,1860,1347,1971,1671,1039,910,1399
PO21,2300,2440,1967,1830,2629,2505,1691,2095,3024
PO22,1790,1918,1511,1245,1691,1471,1098,953,1345
PO3,1025,1701,1363,1084,1367,1075,830,736,935
PO30,1567,2321,1644,1213,2041,1807,1314,978,1566
PO31,897,1380,834,543,844,709,503,377,564
PO32,375,522,445,318,488,543,386,291,383
PO33,1607,1963,1452,1110,1686,1853,1137,816,1312
PO34,99,141,87,63,109,64,51,18,39
PO35,180,208,147,99,154,110,55,47,93
PO36,875,841,704,556,1017,978,708,437,779
PO37,514,429,381,300,456,481,336,214,361
PO38,642,672,524,369,731,545,363,244,415
PO39,147,165,133,103,182,172,93,69,122
PO4,2299,4773,3007,1832,1995,2048,1710,1372,2102
PO40,232,219,173,133,285,264,134,88,190
PO41,108,106,79,58,86,48,25,9,41
PO5,1235,2631,1567,914,915,1131,1080,737,1317
PO6,2347,3763,2498,2067,2446,2246,1640,1390,2275
PO7,2908,4134,2927,2205,2623,2063,1680,1316,1730
PO8,2524,3112,2213,1689,2170,1581,1208,907,1250
PO9,2488,3335,2664,1977,3205,2728,2071,1872,2711
PR0,10,32,31,20,7,16,23,33,31
PR1,2721,5709,3685,3344,2888,3739,3606,3102,4998
PR11,12,49,21,18,5,9,7,11,7
PR2,3588,7502,4394,3830,3529,3735,2911,2734,3969
PR25,1995,3290,2469,1885,1932,1785,1426,1344,1722
PR26,940,1265,820,576,746,537,433,399,568
PR3,2918,4074,2289,1759,2658,1570,1098,1168,1506
