outcode,Average Income,Median Income,Per Capita Income
OX44,58928.83,58100.0,4428.11
OX49,55117.05,53900.0,2655.43
OX5,60544.31,60800.0,6751.25
OX7,54621.49,54700.0,13563.38
OX9,58656.75,58100.0,5944.76
PE1,40749.56,41500.0,13655.73
PE10,44336.07,45600.0,6838.65
PE11,41709.2,41800.0,22285.06
PE12,37501.53,38200.0,16715.32
PE13,40484.01,40700.0,15913.17
PE14,40147.15,39600.0,14368.3
PE15,41605.63,41700.0,24814.48
PE16,44053.87,44000.0,4367.62
PE17,50779.66,49700.0,31845.46
PE18,53108.9,54400.0,42047.5
PE19,50704.13,52600.0,26260.84
PE2,45232.3,42900.0,25905.76
PE20,38299.57,38100.0,6157.4
PE21,41075.96,40500.0,65697.12
PE22,36419.71,36400.0,3189.14
PE23,35773.73,32800.0,2583.81
PE24,30532.13,32400.0,3624.43
PE25,29527.78,29600.0,8657.66
PE27,50692.14,48300.0,185.95
PE28,53849.78,54900.0,901.86
PE29,52551.3,54400.0,1128.56
PE3,45222.05,41800.0,9996.44
PE30,40523.18,37200.0,101542.87
PE31,39225.13,39000.0,369738.15
PE32,42632.68,42000.0,9175.6
PE33,45936.55,43000.0,15070.52
PE34,40242.07,40000.0,19575.86
PE36,37108.5,36800.0,4561.74
PE37,38685.63,37600.0,11233.78
PE38,41082.07,40800.0,5057.05
PE4,42254.82,41800.0,21528.49
PE5,51527.27,52500.0,552.87
PE6,45172.64,44700.0,23585.37
PE7,46384.01,45600.0,60422.52
PE8,49611.68,49200.0,15338.72
PE9,45643.03,45100.0,1781612.39
PL1,37074.05,37000.0,11995.29
PL10,43300.0,43300.0,1680.62
PL11,43292.84,43300.0,7619.35
PL12,46611.33,45100.0,102369.62
PL13,38864.12,38700.0,5989.9
PL14,39330.99,40600.0,16182.05
PL15,41789.59,41600.0,19740.49
PL16,45881.89,47000.0,801.6
PL17,41896.78,41100.0,6090.42
PL18,42208.56,42200.0,3553.59
PL19,45068.79,44300.0,19253.79
PL2,41056.18,40900.0,47922.79
PL20,45774.0,45100.0,14829.54
PL21,47886.48,48500.0,20105.5
PL22,39791.98,40100.0,3535.83
PL23,40354.55,40900.0,2174.45
PL24,39240.41,37900.0,9301.69
PL25,40612.45,41200.0,31584.2
PL26,40200.1,40100.0,822927.59
PL27,40772.0,40600.0,69219.29
PL28,41983.15,42000.0,17941.18
PL29,40647.76,40600.0,3597.32
PL3,47389.64,47900.0,76383.72
PL30,42879.74,44900.0,16407.74
PL31,40672.08,42200.0,16604.49
PL32,39464.4,39500.0,3224.99
PL33,38449.44,38400.0,1044.09
PL34,38400.0,38400.0,872.73
PL35,38400.0,38400.0,271.92
PL4,37372.59,36300.0,11630.93
PL5,37926.65,37200.0,18854.26
PL6,43577.6,42600.0,35951.67
PL7,47762.3,46100.0,64100.44
PL8,49253.72,50600.0,4304.77
PL9,48557.51,47900.0,18915.74
PO1,35717.74,32800.0,21641.67
PO10,48921.49,48000.0,14020.27
PO11,42083.53,39400.0,16239.01
PO12,41049.02,40500.0,48912.45
PO13,43942.52,44000.0,10659.0
PO14,47408.64,48700.0,7140.02
PO15,51758.46,53400.0,13863.98
PO16,47964.27,48700.0,9788.39
PO17,55238.58,56000.0,3659.68
PO18,50108.51,50200.0,10591.01
PO19,46037.96,44000.0,28288.71
PO2,42820.57,44100.0,11705.8
PO20,45922.19,43900.0,26008.19
PO21,46717.41,44500.0,30808.6
PO22,46939.37,48200.0,8231.27
PO3,44450.51,44800.0,11058.9
PO30,37293.82,36800.0,18230.2
PO31,40694.97,38700.0,5007.01
PO32,35349.3,34600.0,2975.54
PO33,36430.84,35500.0,32849.41
PO34,40522.14,40600.0,2282.83
PO35,40393.94,40600.0,4285.25
PO36,34772.14,34200.0,8265.04
PO37,32864.13,30900.0,3468.8
PO38,35356.16,33300.0,12834.44
PO39,34800.0,34800.0,1187.32
PO4,46432.6,46200.0,69722.04
PO40,34800.0,34800.0,2554.71
PO41,36997.65,34800.0,1906.32
PO5,41688.74,45000.0,10626.22
PO6,47005.9,47800.0,21699.51
PO7,47075.53,44600.0,27668.82
PO8,49203.78,51300.0,24145.01
PO9,42659.12,46900.0,19380.48
PR0,34700.0,34700.0,205.08
PR1,35219.27,32500.0,62724.21
PR11,43391.43,51600.0,127.71
PR2,41316.51,38700.0,59323.71
PR25,41622.34,40800.0,12641.66
PR26,44649.74,45900.0,14885.21
PR3,45439.67,42300.0,27455.59
PR4,45989.71,45200.0,31381.46
PR5,42787.24,42300.0,107391.61
PR6,42738.94,40400.0,48621.66
PR7,42854.52,40400.0,30461.62
PR8,41156.38,40700.0,154112.05
PR9,38915.26,38600.0,25647.97
RG1,61655.21,64800.0,54612.91
RG10,68691.76,66700.0,11652.25
RG11,72263.75,72200.0,316993.89
RG12,61548.67,57300.0,252718.91
RG13,54660.12,53800.0,14907.38
RG14,55200.59,53800.0,87700.6
RG15,59970.75,58000.0,98482.32
RG16,60343.1,62600.0,19869.51
RG17,50461.03,50700.0,7552.29
RG18,62328.93,64000.0,1400.65
RG19,56181.25,57800.0,575.91
RG2,58937.35,52100.0,39242.77
RG21,53809.33,52100.0,15725.02
RG22,56450.29,56500.0,22860.32
RG23,60554.21,60900.0,8205.63
RG24,60839.41,59100.0,43030.0
RG25,61108.86,60200.0,12532.51
RG26,57496.92,58800.0,49629.3
RG27,63813.14,68000.0,8965.67
