outcode,Single,Married,Seperated,Divorced,Widowed
TW19,5005,6811,346,1326,778
TW2,8638,12127,450,1796,1288
TW20,11657,7176,300,1386,883
TW3,14428,21820,908,2560,1796
TW4,8238,11989,552,1471,1222
TW5,8404,12942,588,1474,1404
TW6,567,654,51,97,52
TW7,12579,14497,750,2591,1313
TW8,9812,7939,508,1855,741
TW9,6149,7966,297,1325,730
UB1,12685,20172,726,2100,2227
UB10,10908,17163,568,2235,1835
UB11,422,595,28,84,44
UB18,122,241,4,7,16
UB2,9670,15709,634,1477,1450
UB3,15218,21000,943,2818,1888
UB4,11408,16551,727,2085,1512
UB5,15626,17293,1024,2890,1649
UB6,15199,18733,858,2838,1915
UB7,11176,11825,683,2168,1205
UB8,15029,11038,611,2102,1314
UB9,3935,4893,248,1055,824
W1,130,39,0,15,5
W10,17487,9107,1000,2789,1329
W11,13749,8890,644,2623,1013
W12,24490,12771,1092,3222,1371
W13,13544,13086,677,2317,1256
W14,17160,9322,672,2347,866
W1A,5179,2648,195,679,259
W1B,317,141,16,36,18
W1C,464,263,16,53,36
W1D,588,214,29,119,26
W1G,560,350,15,72,27
W1H,2420,1587,80,288,114
W1J,96,53,8,16,4
W1K,90,151,10,17,11
W1M,707,302,35,102,43
W1N,237,46,4,22,7
W1P,2150,568,37,159,83
W2,20617,11170,847,2692,1005
W3,23677,16768,996,3468,1669
W4,15815,15927,727,2831,1386
W5,16422,15900,722,2709,1558
W6,14668,7790,535,1925,812
W7,9331,9229,513,1699,961
W8,4756,5764,259,824,388
W9,15005,8680,709,2225,846
WA1,8162,9194,432,2020,1277
WA10,13984,14240,929,3472,2370
WA11,10973,15484,687,3114,2653
WA12,8546,8359,534,2080,1300
WA13,2985,6236,204,1063,781
WA14,8745,13329,475,2162,1532
WA15,8832,17774,467,2414,2109
WA16,4644,9565,315,1604,1340
WA2,13726,12957,837,3540,2128
WA3,13939,19042,873,3964,2808
WA4,13733,20564,713,3983,2973
WA5,16062,24271,910,4225,2990
WA6,4376,8607,268,1504,1327
WA7,20073,20183,1321,5034,3210
WA8,20104,22021,1181,4685,3429
WA9,16619,15625,1102,3890,2638
WC1A,1576,532,50,147,54
WC1B,409,144,13,33,10
WC1E,603,122,6,29,10
