outcode,Christian,Buddhist,Hindu,Muslim,Others,None
NE23,19592,66,20,192,225,1928
NE24,18049,82,37,353,225,1848
NE25,15754,76,66,308,177,1616
NE26,8154,57,26,203,92,865
NE27,6598,47,151,207,106,759
NE28,21412,131,135,516,287,2135
NE29,16485,78,100,646,274,1700
NE3,22065,184,765,2745,612,2672
NE30,9529,77,34,128,120,935
NE31,13644,28,50,215,89,1047
NE32,12607,39,18,231,131,1067
NE33,13452,84,75,2560,295,1342
NE34,25174,87,86,551,275,2266
NE35,3742,6,10,66,79,321
NE36,3898,7,3,76,49,283
NE37,10705,30,38,115,146,863
NE38,16281,50,50,141,258,1263
NE39,4316,11,10,69,47,308
NE4,13158,146,886,14206,554,1962
NE40,7715,46,6,51,79,661
NE41,926,6,0,2,18,85
NE42,6394,18,18,36,105,599
NE43,2629,8,0,15,30,287
NE44,958,2,0,6,11,96
NE45,1887,5,3,6,11,127
NE46,8370,43,25,47,94,848
NE47,3863,41,1,4,50,401
NE48,1710,19,0,7,32,157
NE49,1993,8,0,5,26,210
NE5,23618,129,270,2042,343,2016
NE6,20403,219,463,2285,462,2661
NE61,20217,104,36,200,250,1707
NE62,4485,6,3,44,54,389
NE63,13820,73,25,198,191,1294
NE64,2554,9,1,20,31,302
NE65,11547,54,10,37,96,959
NE66,10199,43,7,51,88,882
NE67,610,0,0,0,8,47
NE68,1063,6,0,2,8,78
NE69,229,2,0,0,4,8
NE7,6300,45,354,1015,182,681
NE70,1147,3,1,2,24,119
NE71,1633,10,0,4,17,165
NE8,11709,153,215,1605,2976,1956
NE9,18317,67,56,746,220,1434
NG1,5446,275,622,1587,524,3026
NG10,18994,120,333,317,523,2644
NG11,16847,140,449,732,552,2425
NG12,17756,106,507,623,556,2088
NG13,11433,94,79,124,206,1179
NG14,10582,66,59,217,227,1244
NG15,20351,111,245,342,468,2631
NG16,27000,133,315,526,646,3411
NG17,31266,153,270,544,542,4496
NG18,23430,153,210,779,408,2633
NG19,23509,128,130,342,299,2829
NG2,20413,218,1381,6829,1380,3532
NG20,13855,35,41,79,149,1600
NG21,10904,38,32,65,136,1403
NG22,15300,58,41,113,177,1700
NG23,10105,25,23,38,90,935
NG24,24345,131,117,342,283,2709
NG25,4581,19,14,52,57,477
NG3,20873,278,574,5604,1141,3509
NG31,25855,192,496,409,303,2856
NG32,7045,20,36,35,55,553
NG33,5652,22,6,20,59,489
NG34,23542,81,76,246,229,2412
NG4,15495,129,177,1199,370,2167
NG5,34639,365,749,4467,1619,5323
NG6,14861,134,320,1535,646,2251
NG7,17836,360,1581,12376,1842,6188
NG8,23659,259,1347,9283,1763,3744
NG9,28911,364,904,2139,1130,4254
NN1,17744,192,1004,3648,466,2786
NN10,18358,119,209,241,383,2411
NN11,21211,168,189,363,347,2561
NN12,13689,68,61,110,206,1432
NN13,11519,57,31,55,184,1320
NN14,24062,135,153,225,347,2647
NN15,21042,146,464,662,779,2584
NN16,13184,118,342,688,657,1659
NN17,16881,78,123,232,270,1828
NN18,19212,121,319,438,348,2232
NN2,20920,135,510,1764,428,2782
NN29,5900,33,41,59,117,584
NN3,37882,280,1596,3897,921,4785
NN4,25625,227,1215,1694,849,3274
NN5,21696,128,515,2729,541,2854
NN6,18567,112,89,114,235,2037
NN7,14143,78,99,114,245,1584
NN8,26090,224,2669,1668,679,3307
NN9,12467,49,147,97,230,1421
NP1,23117,148,139,495,363,3218
NP10,3514,31,103,219,41,395
NP11,342,3,0,5,8,60
NP12,11451,53,32,99,155,1774
NP13,6358,40,16,93,141,1109
NP15,6118,37,14,27,83,700
NP16,10565,80,50,72,206,1296
NP18,8996,36,56,322,107,1049
NP19,22034,140,170,5458,428,3248
NP2,8929,44,10,87,174,1514
NP20,22417,160,305,4853,516,2965
NP23,12086,50,53,132,185,1808
NP25,7286,59,24,60,93,1034
NP26,11068,49,25,127,171,1278
NP3,157,5,0,0,5,23
NP4,20076,107,60,105,222,2909
NP44,18859,157,185,253,356,2787
NP7,12299,129,112,179,200,1680
NP8,2353,15,3,3,20,259
NR1,11025,235,826,858,430,2301
NR10,12399,94,32,86,233,1684
NR11,10581,68,16,35,153,1299
NR12,11278,54,6,41,157,1419
NR13,15055,102,90,111,177,1855
NR14,13262,121,46,91,169,1692
NR15,8267,47,10,53,101,1135
NR16,6014,31,14,21,86,711
NR17,8430,40,41,86,90,1069
NR18,9465,72,46,110,160,1316
NR19,10530,53,22,74,132,1315
NR2,8910,268,276,670,500,1983
NR20,10561,55,30,35,148,1272
NR21,8623,54,8,31,115,1035
NR22,331,6,0,0,0,46
NR23,1713,22,2,2,19,242
NR24,2282,17,6,1,23,236
NR25,4645,29,10,13,77,634
NR26,4571,23,4,3,54,546
NR27,6015,46,13,28,70,705
NR28,7852,46,15,31,113,1162
NR29,11337,41,20,45,122,1340
NR3,11389,171,129,933,352,2117
NR30,14604,99,86,377,193,2120
NR31,22416,135,248,312,345,2915
NR32,16552,131,103,204,294,2444
NR33,17883,103,65,150,257,2433
NR34,10300,53,28,54,190,1295
NR35,5179,31,22,43,88,596
NR4,9903,275,487,929,280,1814
NR5,11951,134,252,983,301,2046
NR6,10611,80,80,241,126,1384
NR7,13507,95,136,364,206,2099
NR8,9707,60,89,113,120,1223
NR9,8456,59,53,100,99,1169
NW1,19709,701,1192,13706,2286,5486
NW10,46107,740,4426,25354,1890,7738
NW11,8030,340,1112,2729,14343,3880
NW2,26018,648,2653,17118,2910,5246
NW3,16784,632,1355,4891,5894,5124
NW4,11339,340,2006,4211,8676,2880
NW5,7659,148,196,3882,752,1869
NW6,22214,615,1421,11194,3437,5566
NW7,8831,246,1570,3779,5670,2000
NW8,9075,391,1165,8294,2333,2741
NW9,29211,973,9718,16222,1947,5080
OL1,12871,78,168,9474,130,1348
OL10,16239,56,48,890,143,1379
OL11,20618,83,185,17076,242,2529
OL12,19766,109,126,11328,223,2164
OL13,7765,36,15,161,123,850
OL14,6135,72,21,584,192,1034
OL15,8330,25,17,335,96,738
OL16,12616,39,100,10842,127,1438
OL2,24694,66,100,1570,139,1865
OL3,9210,35,23,102,74,761
OL4,18902,78,106,14726,161,2076
OL5,6045,26,32,227,59,616
OL6,13446,74,1304,5462,227,1438
OL7,6806,27,668,2922,94,834
OL8,13952,93,568,19797,132,2296
OL9,14270,68,175,12792,152,1755
OX1,10460,253,441,1282,717,4291
OX10,14729,128,94,138,212,1715
OX11,20583,199,874,735,399,2733
OX12,14776,98,94,179,206,1857
OX13,8811,208,266,184,183,961
OX14,20974,192,349,580,368,2617
OX15,12268,81,108,165,168,1412
OX16,25076,285,286,3459,615,3045
OX17,8473,34,19,47,130,841
OX18,14389,115,43,176,171,1571
OX2,15854,324,448,1610,853,3535
OX20,3541,32,76,60,64,444
OX25,6988,124,199,156,142,854
OX26,18152,259,312,713,339,2211
OX27,3644,31,31,44,54,403
OX28,14765,117,90,319,249,1705
OX29,12657,63,63,98,166,1486
OX3,21007,352,1001,4076,735,4420
OX33,3715,34,48,92,72,494
OX39,4212,10,42,49,72,498
OX4,25653,445,860,7959,1128,5543
OX44,4178,30,25,31,57,475
OX49,2388,17,1,4,42,258
OX5,12327,93,239,532,221,1507
OX7,11363,91,43,119,174,1337
OX9,7805,51,99,77,99,923
PE1,23579,150,1008,17040,713,3525
PE10,13994,52,167,94,140,1576
PE11,29398,84,138,293,310,3294
PE12,24234,84,73,141,246,2660
PE13,22057,94,89,215,262,2594
PE14,12147,61,22,51,151,1490
PE15,15457,71,56,280,270,1912
PE16,5120,46,34,46,92,633
PE17,29780,218,254,1120,496,3768
PE18,27296,240,312,939,460,3195
PE19,18001,162,249,303,339,2330
PE2,26644,203,888,2028,638,3186
PE20,9368,34,31,80,69,860
PE21,28183,96,201,852,216,3263
PE22,9331,49,19,60,138,912
PE23,4725,10,15,16,40,522
PE24,6539,23,12,14,41,745
PE25,11336,74,32,130,177,1315
PE27,94,0,0,6,1,8
PE28,1113,4,34,38,15,157
PE29,654,3,32,37,25,91
PE3,15638,84,1009,5025,478,2088
PE30,24330,182,318,505,313,3143
PE31,11749,47,8,14,152,1238
PE32,8452,47,26,52,94,902
PE33,7736,63,17,48,128,896
PE34,6619,27,18,18,70,863
PE36,3173,11,9,18,48,318
