outcode,total_applications,successful_applications,success_rate
SY2,334,228,68.26
SY20,186,74,39.78
SY21,499,325,65.13
SY22,297,193,64.98
SY23,582,75,12.89
SY24,78,13,16.67
SY25,125,19,15.2
SY3,788,526,66.75
SY4,912,503,55.15
SY5,857,489,57.06
SY6,351,251,71.51
SY7,524,310,59.16
SY8,650,410,63.08
SY9,91,67,73.63
T13,2,2,100.0
TA1,169,27,15.98
TA10,641,139,21.68
TA11,744,187,25.13
TA12,372,115,30.91
TA13,309,111,35.92
TA14,222,63,28.38
TA15,54,26,48.15
TA16,115,33,28.7
TA17,146,45,30.82
TA18,581,200,34.42
TA19,739,196,26.52
TA2,94,21,22.34
TA20,865,191,22.08
TA21,139,63,45.32
TA22,160,80,50.0
TA23,227,141,62.11
TA24,809,483,59.7
TA3,259,69,26.64
TA4,511,299,58.51
TA5,741,639,86.23
TA6,1009,918,90.98
TA7,774,700,90.44
TA8,418,386,92.34
TA9,472,434,91.95
TD1,187,21,11.23
TD10,16,2,12.5
TD11,133,12,9.02
TD12,79,24,30.38
TD13,31,12,38.71
TD14,116,2,1.72
TD15,503,193,38.37
TD2,41,5,12.2
TD3,14,4,28.57
TD4,30,4,13.33
TD5,222,18,8.11
TD6,247,26,10.53
TD7,107,13,12.15
TD8,98,10,10.2
TD9,147,25,17.01
TF1,926,285,30.78
TF10,900,312,34.67
TF11,327,178,54.43
TF12,129,96,74.42
TF13,147,94,63.95
TF2,557,170,30.52
TF3,324,107,33.02
TF4,325,98,30.15
TF5,111,42,37.84
TF6,477,154,32.29
TF7,307,91,29.64
TF8,467,158,33.83
TF9,1004,663,66.04
TH6,2,2,100.0
TL1,1,0,0.0
TN09,2,2,100.0
TN1,1138,920,80.84
TN10,671,491,73.17
TN11,1912,1195,62.5
TN12,3175,2270,71.5
TN13,3596,2081,57.87
TN14,2371,1207,50.91
TN15,3618,2109,58.29
TN16,1249,730,58.45
TN17,2252,1802,80.02
TN18,876,681,77.74
TN19,415,122,29.4
TN2,2317,1992,85.97
TN20,616,475,77.11
TN21,1433,1037,72.37
TN22,2225,1664,74.79
TN23,938,281,29.96
TN24,1171,365,31.17
TN25,2017,588,29.15
TN26,1556,482,30.98
TN27,1919,722,37.62
